Importance,Feature
0.021489959455430852,folklore
0.01941378872547347,kramer
0.01752457345506723,russian
0.014398960383770152,swiss
0.010030707992799235,reject
0.009789327701823333,delivery
0.007453650211975701,price
0.0073027013170156585,students
0.007203307520042362,meyer
0.006650757344863738,constance
0.006115092775877718,week
0.006011677855882239,sorry
0.005890617128541788,willing
0.005753668686480653,already
0.005707761628900648,chris
0.005398036973074992,ltd
0.004953038730399093,cuisine
0.0049046894382974845,final
0.004803735619113567,alex
0.00476625599142055,would
0.004533548193904708,future
0.004482714746434419,issues
0.004465073977772167,regardsalex
0.004410119562786513,best
0.004387345873972395,music
0.004368504043033251,vaccine
0.004259045193647089,offer
0.004255034094727905,think
0.004224212963189925,regards
0.004163622650908693,kim
0.004079513952767664,understand
0.004050501389975195,traditional
0.00402317682029807,act
0.003972871520955276,like
0.003924069123841811,parking
0.0038146715007188717,conditions
0.0037261703796573104,local
0.00371904839250297,us
0.0037020295219302754,months
0.0036463254417187234,international
0.00361013039291028,accept
0.0035705146370838864,catering
0.0034925047820685514,corporate
0.0034547743766727224,opening
0.003391178974169349,years
0.003362614317858914,intentions
0.0033582370812987664,hope
0.003341579554981683,band
0.003293452837469458,still
0.0032854677257617196,event
